District,Year,Month,Precipitation,Latitude,Longitude
Humla,2020,1,59.84937785,30.031246,81.879939
Darchula,2020,1,69.27888887,29.891764,80.79208
Bajhang,2020,1,85.08318588,29.707187,81.177552
Mugu,2020,1,82.45269314,29.616697,82.370045
Bajura,2020,1,71.56932593,29.560981,81.563751
Baitadi,2020,1,86.89941283,29.505748,80.568945
Dolpa,2020,1,43.82077577,29.169672,83.051675
Jumla,2020,1,91.90255891,29.271429,82.216955
Kalikot,2020,1,100.0433809,29.193791,81.751297
Doti,2020,1,100.6627785,29.168435,80.894631
Dadeldhura,2020,1,97.1956772,29.223587,80.485935
Achham,2020,1,94.43832214,29.113284,81.297039
Mustang,2020,1,34.44412968,28.982166,83.857865
Dailekh,2020,1,80.8648472,28.877176,81.675712
Jajarkot,2020,1,106.2955149,28.864711,82.166041
Kanchanpur,2020,1,80.28275741,28.862743,80.321964
Kailali,2020,1,109.5089048,28.743479,80.875891
Rukum,2020,1,54.42420721,28.700602,82.663139
Surkhet,2020,1,77.78122445,28.63821,81.58624
Manang,2020,1,24.16259892,28.675265,84.224174
Myagdi,2020,1,41.85001385,28.553634,83.460469
Gorkha,2020,1,20.80189473,28.319581,84.79061
Bardiya,2020,1,62.5819281,28.384409,81.399746
Salyan,2020,1,50.54790208,28.397541,82.137366
Baglung,2020,1,39.44124754,28.34594,83.253815
Kaski,2020,1,32.42570636,28.354788,83.998296
Rolpa,2020,1,41.6383259,28.343304,82.625385
Lamjung,2020,1,23.89653011,28.292067,84.430079
Parbat,2020,1,48.98598431,28.209591,83.680393
Rasuwa,2020,1,16.21260546,28.183009,85.410846
Pyuthan,2020,1,47.25386754,28.118619,82.866551
Dhading,2020,1,24.18436136,27.950737,84.961925
Banke,2020,1,42.30063344,28.086256,81.827979
Gulmi,2020,1,48.60309108,28.093716,83.3024
Dang,2020,1,46.37724437,27.962875,82.417879
Syangja,2020,1,53.49087401,28.0212,83.804351
Sindhupalchok,2020,1,18.83955755,27.913888,85.737562
Dolakha,2020,1,20.36048704,27.783823,86.194733
Tanahu,2020,1,27.54829079,27.955538,84.252931
Arghakhanchi,2020,1,50.79205664,27.918662,83.073749
Solukhumbu,2020,1,21.58445927,27.712663,86.717251
Nuwakot,2020,1,19.97598275,27.914389,85.236035
Sankhuwasabha,2020,1,26.4934826,27.582582,87.277929
Palpa,2020,1,61.92026542,27.818993,83.625544
Taplejung,2020,1,17.32713322,27.581838,87.820592
Chitwan,2020,1,23.53939958,27.585455,84.436234
Nawalparasi,2020,1,31.1296221,27.633505,83.952535
Kapilbastu,2020,1,39.9598144,27.636098,82.989886
Ramechhap,2020,1,20.20562128,27.508253,86.170473
Kathmandu,2020,1,17.32465669,27.725003,85.334538
Rupandehi,2020,1,46.78331689,27.581858,83.389628
Kavre,2020,1,17.99216594,27.539266,85.618132
Bhaktapur,2020,1,16.46968498,27.679856,85.442301
Makwanpur,2020,1,19.43561442,27.469932,85.079392
Lalitpur,2020,1,21.94518396,27.539145,85.341026
Okhaldhunga,2020,1,22.10599493,27.331806,86.418922
Bhojpur,2020,1,21.69337108,27.180734,87.067909
Parsa,2020,1,19.2705342,27.239618,84.780146
Sindhuli,2020,1,21.20712625,27.201824,85.943553
Khotang,2020,1,18.92203818,27.169881,86.787232
