StationName,Index No.,Basin Office,TypesofStation,District,Latitude,Longitude,Elevation
Chameliya,,R,AWS,Darchula,29.68333333,80.56666667,764
KAKERPAKHA,101,R,PRECIPITATION,Baitadi,29.65,80.5,842
BAITADI,102,R,PRECIPITATION,Baltadi,29.55,80.41666667,1635
PATAN (WEST),103,R,CLIMATOLOGY,Baitadi,29.46666667,80.53333333,1266
DADELDHURA,104,R,SYNOPTIC,Dadeldhura,29.3,80.58333333,1848
MAHENDRA NAGAR,105,R,AGROMETEOROLOGY,Kanchanpur,29.03333333,80.21666667,176
BELAURI SANTIPUR,106,R,PRECIPITATION,Kanchanpur,28.68333333,80.35,159
DARCHULA,107,R,CLIMATOLOGY,Darchula,29.85,80.56666667,1097
SATBANJH,108,R,PRECIPITATION,Baltadi,29.53333333,80.46666667,2370
PIPALKOT,201,R,PRECIPITATION,Bajhang,29.61666667,80.86666667,1456
CHAINPUR(WEST),202,R,CLIMATOLOGY,Bajhang,29.55,81.21666667,1304
SILGADI DOTI,203,R,CLIMATOLOGY,Doti,29.26666667,80.98333333,1360
BAJURA,204,R,PRECIPITATION,Bajura,29.38333333,81.31666667,1400
KATAI,205,R,PRECIPITATION,Doti,29,81.13333333,1388
ASARA GHAT,206,R,PRECIPITATION,Achham,28.95,81.45,650
TIKAPUR,207,R,CLIMATOLOGY,Kailali,28.53333333,81.11666667,140
SANDEPANI,208,R,PRECIPITATION,Kailali,28.75,80.91666667,195
DHANGADHI(ATARIYA),209,R,SYNOPTIC,Kaliali,28.8,80.55,187
BANGGA CAMP,210,R,PRECIPITATION,Achham,28.96666667,81.11666667,340
KHAPTAD,211,R,PRECIPITATION,Doti,29.38333333,81.2,3430
SITAPUR,212,R,PRECIPITATION,Kailali,28.56666667,80.81666667,152
KOLAGAUN,214,R,PRECIPITATION,Doti,29.11666667,80.68333333,1304
GODAVARI(WEST),215,R,CLIMATOLOGY,Kailali,28.86666667,80.63333333,288
MANGALSEN,217,R,PRECIPITATION,Achham,29.15,81.28333333,1345
DIPAYAL(DOTI),218,R,SYNOPTIC,Doti,2915.1,8056.766667,652
OLI GAUN,220,R,CLIMATOLOGY,Achham,29.16666667,81.28333333,820
MUGU,301,R,PRECIPITATION,Mugu,29.75,82.55,3803
THIRPU,302,R,PRECIPITATION,Kalikot,29.31666667,81.76666667,1006
JUMLA,303,R,SYNOPTIC,jumla,29.28333333,82.16666667,2300
